game,moves
135,g1f3 b7b6 c2c3 g7g5 a2a4 b8c6 c3c4 a7a5 f3g5 c6b4 d2d4 f7f6
136,b2b3 h7h6 a2a3 a7a5 f2f3 f7f5 c1b2 c7c6 e1f2 a5a4 h2h3 h8h7
137,g1f3 h7h6 g2g4 b7b6 d2d3 g8f6 a2a4 h8g8 a1a3 a7a5 f3d4 b8c6
138,b2b3 h7h5 c2c3 h5h4 f2f3 c7c6 e2e3 d7d6 f1a6 e8d7 c1b2 g8h6
139,b2b3 e7e5 g2g3 g7g6 f2f3 f7f6 d2d3 b7b5 e1d2 f8h6 e2e3 g6g5
140,b2b3 a7a5 f2f3 f7f5 c2c3 h7h6 h2h3 g7g5 d1c2 f5f4 c2g6
141,e2e4 b8a6 g1e2 a6c5 d2d4 g7g6 b1d2 a7a5 g2g4 c5e4 e2g3 e4f2
142,b1a3 g7g6 g1f3 b7b6 a3b5 f7f6 d2d4 c7c5 d4d5 c8a6 b2b4 g8h6
143,a2a4 d7d5 g1f3 h7h6 g2g4 b8c6 d2d3 a8b8 f3d4 c8g4 d4c6 b7c6
144,b2b4 c7c6 g2g3 f7f6 d2d4 f6f5 e2e3 e8f7 g1e2 d7d6 c2c3 f5f4
145,b2b3 a7a5 e2e3 c7c5 e1e2 d7d6 c2c3 c5c4 f2f3 a8a6 g2g3 a5a4
146,g2g3 g8f6 b2b3 g7g6 g3g4 h7h5 a2a3 f6d5 a1a2 e7e5 d2d3 e5e4
147,b2b3 a7a5 c2c4 b8c6 f2f3 g7g6 e2e4 f8h6 g2g3 f7f6 c1a3 e7e5
148,b2b4 e7e5 g2g4 g8e7 b4b5 h8g8 g4g5 f7f6 f2f3 g7g6 d2d4 d7d5
149,b1a3 g8f6 a1b1 a7a5 g1f3 h7h6 h2h3 a8a6 h1g1 d7d6 h3h4 h8g8
150,b2b3 b7b5 a2a4 g7g6 a4b5 f7f6 g1h3 e7e5 a1a7 f8c5 a7a8 g8e7
151,b1c3 g8h6 b2b3 h6f5 g2g4 d7d5 c3d5 f5e3 d5e7 b7b5 f1g2 e3d1
152,g1f3 h7h6 c2c3 a7a5 d2d3 a8a6 b2b4 d7d6 h2h3 b8d7 a2a4 a6c6
153,b2b3 f7f6 g2g3 c7c6 c1b2 b7b6 b1a3 a7a6 h2h3 a8a7 a1b1 h7h6
154,b2b4 c7c6 b4b5 c6b5 f2f4 h7h6 c2c3 b7b6 a2a4 f7f5 h2h4 e8f7
155,g1f3 b7b6 d2d3 a7a6 c2c4 f7f6 a2a4 a8a7 f3e5 c7c5 b1d2 c8b7
156,d2d3 f7f5 e2e3 d7d6 f2f4 e7e6 g1f3 e8e7 e1e2 c7c5 f3g5 b7b5
157,g2g4 b7b6 g4g5 c7c6 h2h3 f7f6 f2f4 f6g5 f4g5 h7h5 d2d4 b8a6
158,g1f3 b8c6 g2g4 c6b4 f1g2 f7f5 a2a4 b4c6 d2d4 b7b6 c2c4 e8f7
159,g1f3 g7g5 b2b3 f7f5 f3e5 h7h5 a2a3 d7d6 e2e3 f8g7 c2c3 g5g4
160,b2b3 a7a5 f2f3 h7h6 b3b4 a5b4 a2a3 g7g5 g2g4 f7f5 e2e4 b7b5
161,b2b3 g7g6 h2h3 g8h6 a2a3 d7d5 a1a2 e7e6 a3a4 d5d4 a2a1 c7c5
162,b2b3 h7h6 a2a3 c7c6 a1a2 f7f5 c2c4 d8b6 h2h4 b6a6 a2a1 a6c4
163,f2f3 h7h5 e1f2 b8a6 g2g4 f7f6 d2d4 d7d5 a2a3 a6b4 e2e4 h5g4
164,a2a4 d7d5 b1c3 h7h6 a4a5 b8c6 d2d3 c6b4 g2g4 c8g4 a1a2 g7g6
165,b2b3 a7a5 f2f3 d7d6 c2c3 h7h6 e2e3 c8d7 c1b2 c7c5 a2a4 g8f6
166,b2b3 a7a5 e2e3 g8f6 e1e2 b7b6 b1c3 f6g4 c1b2 g7g5 g2g3 c7c5
167,g1f3 e7e5 b2b4 g8e7 b4b5 h8g8 d2d4 d7d6 d4e5 c7c6 g2g4 c8g4
168,b2b3 d7d5 c2c3 a7a6 b3b4 f7f6 e2e4 h7h6 c3c4 a8a7 e4d5 c8d7
169,g1f3 a7a6 e2e4 e7e5 f1e2 f7f6 f3e5 d7d6 b2b4 f6e5 b4b5 c8d7
170,b2b3 a7a5 f2f3 c7c6 c2c4 b7b6 e2e3 e7e5 g1e2 c8b7 c1a3 c6c5
171,b2b3 a7a5 f2f3 b7b5 g1h3 c7c6 c2c4 d7d5 g2g4 c8g4 e2e3 e7e5
172,g1f3 e7e6 g2g3 b7b5 d2d3 d7d6 c1d2 e8d7 c2c4 h7h5 h1g1 d8e8
173,b2b3 c7c6 c2c3 h7h6 c1a3 a7a6 e2e3 a6a5 c3c4 f7f6 a3c5 b7b5
174,d2d3 f7f5 g1f3 g7g5 e2e3 b7b5 b2b4 c7c6 e1d2 a7a6 c2c3 a8a7
175,b2b3 a7a5 f2f3 c7c6 c2c3 h7h6 e2e3 f7f5 c3c4 f5f4 g1e2 h6h5
176,f2f4 g7g5 b1a3 g5g4 a3b5 d7d5 b2b4 d8d6 b5d6 e7d6 a2a4 g8f6
177,b2b4 f7f6 b4b5 b7b6 b1a3 b8a6 a1b1 c7c5 h2h3 f6f5 h1h2 h7h6
178,g1f3 g8h6 h2h3 h6g8 g2g4 g7g5 b2b3 h7h6 c2c3 d7d6 f1g2 c8d7
179,e2e4 g7g5 g1e2 g8f6 f2f4 h7h6 e1f2 d7d5 b1c3 c8e6 g2g4 f6g4
180,h2h4 e7e5 h4h5 g8f6 g1f3 f8c5 a2a4 b8c6 d2d4 e5e4 g2g3 e4f3
181,b2b3 a7a5 c2c3 b7b5 f2f3 e7e5 c3c4 e8e7 g1h3 d7d5 c4d5 c7c6
182,b2b3 a7a5 f2f3 d7d6 c1a3 c7c6 c2c3 a5a4 e2e3 h7h5 a3c5 c8e6
183,a2a4 b8a6 b1c3 h7h6 a1a2 f7f5 a4a5 b7b6 g1f3 e7e5 c3b5 d7d5
184,g1f3 a7a5 h2h4 a5a4 d2d4 g7g5 f3g1 b8c6 e2e4 g5g4 c1d2 c6b4
185,b2b4 c7c6 a2a4 f7f6 h2h3 h7h5 g2g4 f6f5 c2c3 e8f7 a1a3 b8a6
186,b2b3 a7a5 a2a3 a5a4 c2c3 d7d6 e2e3 d8d7 c1b2 c7c6 e1e2 g8f6
187,b2b3 e7e5 a2a4 c7c6 f2f3 f7f5 g2g3 f8d6 b1c3 f5f4 e2e4 f4e3
188,d2d3 g7g6 c1d2 d7d5 b2b4 d5d4 a2a3 f7f6 e2e4 c7c5 f2f3 b8c6
