game,moves
120,d2d4 f7f5 b1d2 a7a5 e2e3 c7c6 a1b1 b7b6 b2b4 c8a6 e3e4 h7h6
121,c2c3 e7e6 g2g4 g7g5 f1g2 d7d5 d1b3 f7f6 b1a3 f8d6 e1d1 d6e5
122,g2g4 g7g5 a2a3 c7c5 e2e4 b8a6 a1a2 e7e5 b2b3 f8g7 g1h3 e8f8
123,d2d4 f7f5 f2f3 a7a5 b2b3 g7g5 b1a3 c7c6 g2g4 d8c7 c1d2 f5f4
124,a2a4 g7g5 a1a2 f8h6 g2g4 e8f8 d2d4 c7c6 c2c3 g8f6 b1a3 f6e4
125,g2g4 g7g5 b1a3 e7e5 g1h3 c7c6 b2b3 e8e7 c2c3 e5e4 a1b1 f7f5
126,g2g4 g7g5 b1a3 a7a5 e2e4 d7d5 g1h3 b8a6 d2d4 a8a7 b2b4 e7e5
127,h2h4 g7g5 g2g4 g8f6 h4g5 f6g8 e2e4 e7e5 d2d4 c7c6 d1d3 f8c5
128,a2a3 g7g5 c2c3 e7e5 e2e3 a7a5 g2g4 c7c5 g1f3 b7b6 f1h3 c8b7
129,c2c3 f7f5 a2a4 a7a6 g2g4 g8h6 b2b3 e7e5 g1h3 e5e4 h1g1 d7d5
130,g2g4 c7c6 a2a4 a7a5 g1h3 g8f6 a1a2 b8a6 b2b3 f6h5 e2e4 e7e6
131,d2d4 a7a6 b1a3 g8h6 d1d3 f7f6 e2e4 c7c5 f2f3 g7g5 c2c3 e8f7
132,c2c3 a7a5 e2e3 g8f6 e1e2 g7g5 f2f4 f6g8 a2a3 d7d5 d1a4 b8c6
133,e2e4 c7c6 d1f3 g7g5 b1a3 g5g4 f3f6 a7a5 g2g3 f8g7 f6h6 a8a6
134,g2g4 f7f6 f2f3 g7g5 b2b4 c7c5 e2e4 e7e5 a2a3 a7a5 c2c3 f8g7
135,g2g4 e7e6 b1c3 a7a5 a2a4 d7d5 f1g2 c7c5 a1a2 f7f6 c3d5 d8c7
136,g2g4 g8f6 b1a3 a7a5 b2b4 a5a4 d2d4 c7c6 e2e3 b7b6 f1g2 g7g5
137,g2g4 g7g5 b1a3 e7e6 g1h3 d7d5 b2b3 g8e7 e2e4 c7c5 e4e5 c8d7
138,g2g4 f7f6 b1a3 d7d5 e2e4 d5e4 a1b1 a7a5 b1a1 d8d2 c1d2 e7e5
139,d2d3 g7g6 g2g4 a7a5 b2b3 g6g5 e2e4 f7f5 a2a4 e7e5 f2f3 b7b6
140,g2g4 b8a6 h2h3 f7f6 f2f4 e7e5 e1f2 b7b6 d2d4 g7g5 d4d5 a6b8
141,e2e3 g7g6 b1a3 a7a5 g1h3 f7f5 b2b4 c7c6 g2g4 d8c7 h1g1 e8d8
142,g2g4 a7a5 c2c3 a8a6 b2b4 f7f5 h2h3 g7g5 a2a4 e7e6 c3c4 e8e7
143,c2c3 b7b6 g2g4 g7g5 b2b3 c8b7 a2a4 d7d6 e2e3 c7c5 e1e2 a7a5
144,e2e4 a7a6 c2c3 g8f6 b2b3 c7c6 g2g3 h7h5 a2a4 d7d5 f2f3 b7b6
145,e2e4 d7d5 b1a3 a7a5 g1h3 g8h6 d2d4 b7b6 e4d5 c7c5 f2f4 h6g8
146,a2a3 b7b6 f2f4 g7g5 e2e3 g5g4 d1g4 h7h6 e1e2 d7d5 h2h3 c8d7
147,a2a3 e7e6 d2d4 f7f5 c1d2 g8f6 h2h3 c7c6 g2g4 h8g8 d1c1 a7a5
148,f2f3 a7a5 a2a3 f7f5 c2c3 g7g6 g2g4 c7c6 e2e4 b7b6 h2h4 e7e5
149,a2a4 f7f6 b2b4 g7g5 g2g4 b8c6 a1a2 f8g7 f1g2 e8f7 e2e4 e7e5
150,f2f4 a7a5 c2c4 b7b6 e2e4 b8a6 a2a4 a6c5 b2b3 d7d5 e1e2 g7g6
151,e2e3 a7a5 b1a3 g7g5 g2g4 c7c6 a3b1 e7e5 a2a4 d7d5 d2d4 d8c7
152,a2a4 c7c6 d2d3 e7e5 b2b3 f7f6 g2g4 e8e7 c2c3 a7a5 a1a2 f6f5
153,g2g4 c7c5 b1a3 a7a5 g1h3 e7e5 e2e3 b7b5 e1e2 g7g5 c2c3 d7d5
154,d2d3 c7c6 g2g4 g7g5 d3d4 g8h6 h2h3 f8g7 b2b3 f7f6 e2e3 b8a6
155,g2g4 d7d5 b1a3 f7f6 g4g5 h7h6 e2e3 c7c6 d2d4 h8h7 e1e2 f6g5
156,g2g4 f7f5 e2e4 e7e5 f1e2 g8f6 c2c3 f6g4 d1b3 c7c5 e1d1 h8g8
157,g1f3 g7g5 c2c3 a7a5 a2a4 c7c5 h1g1 a8a6 b1a3 f8g7 a1a2 e8f8
158,e2e4 e7e6 c2c3 e8e7 g2g4 c7c6 e1e2 f7f5 f2f3 a7a6 f1g2 d8a5
159,c2c3 b8a6 f2f3 g7g5 g1h3 e7e6 d1a4 c7c5 a4d7 d8d7 a2a4 e8e7
160,f2f4 c7c5 c2c3 a7a5 e2e3 g7g5 e3e4 e7e5 e1e2 a8a7 f4g5 e8e7
161,b2b3 g7g5 g2g4 a7a5 b1c3 g8f6 a1b1 f6e4 e2e3 b7b5 f1b5 c7c6
162,a2a3 h7h6 e2e3 e7e5 g2g4 d8e7 b2b3 c7c6 c2c3 g7g5 a1a2 f8g7
163,g2g4 g7g5 c2c4 g8h6 e2e4 e7e6 e4e5 f7f5 a2a3 f8c5 b2b3 b8a6
164,f2f4 g7g6 c2c4 a7a5 a2a4 c7c5 e2e3 b7b6 g2g4 d8c7 f1g2 g8f6
165,b1a3 g7g5 f2f3 f8g7 g2g4 c7c5 b2b3 a7a5 g1h3 f7f5 g4f5 g8h6
166,c2c3 e7e5 g2g4 g7g5 e2e4 g8f6 e1e2 a7a5 b1a3 c7c6 f1g2 d7d5
167,c2c3 b8c6 g2g4 a7a5 e2e4 c6b4 g1h3 f7f6 a2a3 e7e5 h3f4 c7c6
168,e2e4 b8a6 f2f3 d7d5 b1a3 g7g5 g1e2 e8d7 g2g3 c7c6 d2d4 f7f5
169,e2e3 e7e6 a2a4 e6e5 b1a3 c7c6 f2f3 a7a5 e3e4 g8e7 c2c4 d8c7
170,f2f3 c7c5 b1a3 a7a5 d2d4 b7b6 e2e3 g7g5 g2g4 e7e5 b2b3 f8d6
171,a2a3 e7e5 b1c3 g7g5 f2f4 c7c6 e2e4 e8e7 g2g4 a7a5 e1f2 g8f6
172,c2c3 g7g6 g2g4 c7c6 e2e3 f7f5 f1g2 a7a5 e1e2 e7e6 e2f1 h7h6
173,e2e4 g7g5 c2c3 e7e5 a2a4 b8a6 g1h3 c7c6 b2b3 d7d6 g2g4 e8e7
174,c2c3 a7a6 g1h3 c7c6 b1a3 e7e5 e2e4 f8d6 b2b3 g7g5 d2d4 d8c7
175,c2c3 c7c6 b1a3 g7g5 a3b1 e7e5 g1h3 a7a5 b2b3 f8g7 f2f4 f7f5
176,e2e3 g7g5 b1c3 d7d5 g2g4 g8f6 g1h3 c7c5 h3g5 h7h5 b2b4 b7b6
177,c2c3 d7d6 e2e3 f7f6 b1a3 c7c5 e3e4 a7a5 g2g4 c8f5 d2d4 e7e5
178,g1h3 e7e5 c2c3 c7c6 e2e4 b8a6 e1e2 a6b4 c3b4 g8f6 h3g5 a7a5
179,e2e4 c7c6 c2c3 d7d5 f2f3 h7h6 b1a3 e8d7 g1h3 f7f6 c3c4 d8c7
180,e2e4 e7e5 a2a3 c7c5 g2g4 d7d5 c2c3 c8f5 b2b4 f7f6 g4g5 b7b6
181,c2c3 c7c5 g1f3 d7d6 g2g3 g7g6 h1g1 d8c7 e2e3 f7f6 d1b3 a7a5
182,a2a3 e7e5 e2e3 e8e7 e3e4 f7f5 c2c3 c7c6 f2f3 g7g5 b2b3 b8a6
183,g2g4 f7f6 c2c3 e7e5 e2e4 a7a6 a2a4 c7c5 f1d3 g7g5 f2f3 b8c6
184,g2g4 f7f6 a2a3 g7g5 a1a2 c7c6 f1g2 e7e5 h2h4 h7h5 c2c3 h5g4
185,g2g4 e7e5 c2c3 c7c5 h2h3 f7f6 b1a3 a7a5 h1h2 d7d5 f1g2 b8a6
186,g2g4 c7c6 a2a3 b8a6 c2c4 e7e5 f2f3 g7g5 d1a4 g8e7 e1f2 a8b8
187,c2c3 b8a6 f2f3 g7g5 d2d4 f8h6 b2b3 e8f8 c1b2 e7e5 g1h3 b7b6
188,e2e4 c7c5 a2a4 g7g5 g1h3 a7a5 b2b4 d8c7 a1a2 b7b6 c2c3 e7e6
189,g1f3 b8c6 g2g3 g7g5 a2a3 e7e5 b2b3 a7a6 g3g4 c6b8 f3h4 d7d6
190,g2g4 e7e5 b1a3 f7f5 f2f4 b8a6 g1h3 d7d5 d2d4 c7c6 g4f5 f8c5
191,g2g4 g7g5 c2c3 e7e5 d2d4 h7h6 f2f3 f7f6 a2a3 b8a6 e2e4 f8g7
192,f2f3 e7e5 e2e4 d7d5 c2c3 b8a6 f1e2 d8d6 b2b3 e8d7 b1a3 a6c5
193,c2c3 e7e6 b1a3 f7f5 e2e3 a7a5 g1h3 e6e5 h1g1 e5e4 g2g3 g8e7
194,e2e4 g7g5 g1e2 b8c6 h2h4 e7e5 b2b4 h7h5 f2f3 f8g7 b1a3 e8e7
195,e2e3 h7h5 b1a3 d7d5 c2c3 g8f6 d1g4 g7g5 b2b3 c8f5 e1d1 c7c5
196,g2g4 b7b5 f2f3 f7f6 e1f2 g7g5 d2d4 c7c6 b2b4 e7e5 a2a3 d8c7
197,g1f3 f7f6 c2c3 e7e5 b1a3 a7a5 h1g1 c7c6 g2g4 b8a6 f3e5 b7b5
198,e2e3 a7a5 f2f3 c7c5 e1e2 g7g6 g2g4 g8f6 c2c3 f8g7 e2e1 f6g4
199,c2c3 c7c6 f2f3 g7g5 g2g4 e7e5 g1h3 a7a5 f1g2 d7d5 d2d4 a8a7
200,g2g4 e7e6 a2a4 a7a5 e2e4 c7c6 g1f3 d8c7 c2c4 b7b6 f3h4 c6c5
201,c2c3 c7c5 g1h3 b7b5 a2a4 b5a4 h3g5 a7a5 f2f3 g7g6 g2g4 f8g7
202,e2e3 a7a5 c2c3 g7g5 f2f3 a8a6 d2d4 c7c6 a2a3 d8c7 d1e2 h7h6
203,a2a3 c7c5 h2h4 f7f6 a1a2 g7g5 c2c4 e8f7 g2g4 e7e6 b2b4 d7d6
204,e2e4 c7c6 a2a3 d8b6 d2d4 g7g5 d1h5 d7d5 a1a2 e8d7 e1d2 f8g7
205,h2h4 c7c6 g2g4 g8f6 a2a4 g7g5 b1a3 a7a5 a3b5 d8c7 c2c3 c7b6
206,g2g4 e7e5 g1h3 h7h5 h1g1 c7c6 e2e3 f8a3 f1g2 f7f6 b2b4 g7g5
207,g1h3 e7e6 h3g5 c7c6 e2e3 e8e7 g2g4 f7f5 f1c4 a7a5 e1e2 a8a7
208,c2c3 c7c6 g2g4 g7g5 d2d4 e7e5 e2e4 e8e7 g1e2 d8e8 a2a3 f7f5
209,g2g4 d7d5 a2a3 g7g5 a1a2 e8d7 a3a4 e7e5 b1c3 f7f5 c3d5 f8h6
210,e2e3 g7g5 c2c3 b7b6 g2g4 e7e5 a2a3 e8e7 a1a2 e7e8 d2d4 d7d5
211,e2e4 g7g5 c2c3 d7d5 g2g4 e8d7 e1e2 d7e8 e2f3 e7e5 f3g3 f7f5
212,e2e4 g7g5 g2g4 b8c6 f2f4 e7e5 g1h3 a7a6 d2d4 a8a7 c2c3 h7h6
213,e2e4 c7c5 d2d3 a7a5 c2c3 g7g5 b2b3 e7e5 h2h3 d8c7 f2f3 f7f5
214,f2f4 h7h6 a2a4 d7d6 e2e4 e7e5 h2h3 c7c5 g2g4 h6h5 c2c3 f7f5
215,e2e4 g7g5 e1e2 e7e6 c2c3 e8e7 g2g4 d7d5 f1g2 f8h6 b1a3 c7c6
216,e2e4 g7g5 b2b3 c7c6 e1e2 a7a5 h2h4 e7e6 c2c3 b8a6
217,c2c3 f7f6 f2f3 e7e5 b2b4 c7c6 e1f2 g8e7 b1a3 e8f7 g2g4 g7g5
218,c2c3 f7f6 a2a4 b7b6 e2e4 a7a5 f2f3 g7g5 e1e2 d7d5 e2e3 c7c6
219,c2c4 g7g6 g2g4 a7a6 b2b4 c7c6 f2f3 a8a7 e2e4 d7d5 f1g2 d8c7
220,f2f4 a7a6 e2e3 h7h5 h2h3 f7f6 e1f2 g7g5 a2a4 e7e5 b2b4 c7c6
221,c2c3 g8h6 e2e3 a7a5 g1h3 c7c6 d1b3 g7g5 b3b4 f7f5 h1g1 d8c7
222,g2g4 c7c6 g1h3 g7g5 d2d4 f7f5 a2a4 a7a5 c1d2 d8c7 f2f3 a8a7
223,g2g4 g8h6 a2a3 a7a5 f1g2 c7c6 e1f1 b8a6 g2c6 f7f5 b2b4 g7g5
224,c2c3 f7f6 a2a4 g7g5 e2e4 c7c6 a1a2 e8f7 g2g4 f8g7 d1c2 b8a6
225,e2e3 f7f6 g2g4 a7a5 e1e2 g7g5 f2f4 d7d5 c2c3 c7c6 g1h3 c8e6
